Price,price,log_return
Ticker,^GSPC,
Date,,
2015-04-10,2102.06005859375,0.005189376899456221
2015-04-13,2092.429931640625,-0.004591806820961145
2015-04-14,2095.840087890625,0.00162843225851382
2015-04-15,2106.6298828125,0.005134989044995592
2015-04-16,2104.989990234375,-0.0007787467579851993
2015-04-17,2081.179931640625,-0.01137570418905323
2015-04-20,2100.39990234375,0.009192748586536723
2015-04-21,2097.2900390625,-0.001481702504767951
2015-04-22,2107.9599609375,0.005074582853386292
2015-04-23,2112.929931640625,0.0023549408425523675
2015-04-24,2117.68994140625,0.0022502668247534868
2015-04-27,2108.919921875,-0.004149913240734652
2015-04-28,2114.760009765625,0.0027654044373465075
2015-04-29,2106.85009765625,-0.003747348127573222
2015-04-30,2085.510009765625,-0.010180553033248205
2015-05-01,2108.2900390625,0.010863776563455257
2015-05-04,2114.489990234375,0.0029364331477630206
2015-05-05,2089.4599609375,-0.0119080033585301
2015-05-06,2080.14990234375,-0.004465681140931977
2015-05-07,2088.0,0.003766710469475405
2015-05-08,2116.10009765625,0.013368147987361164
2015-05-11,2105.330078125,-0.005102556456082039
2015-05-12,2099.1201171875,-0.002953996439367266
2015-05-13,2098.47998046875,-0.0003050012906516677
2015-05-14,2121.10009765625,0.010721604261760033
2015-05-15,2122.72998046875,0.0007681188278664758
2015-05-18,2129.199951171875,0.003043312472570502
2015-05-19,2127.830078125,-0.0006435815978420154
2015-05-20,2125.85009765625,-0.0009309494507940488
2015-05-21,2130.820068359375,0.0023351459087448084
2015-05-22,2126.06005859375,-0.0022363851494835974
2015-05-26,2104.199951171875,-0.010335204907502334
2015-05-27,2123.47998046875,0.009120918929110081
2015-05-28,2120.7900390625,-0.0012675639174870542
2015-05-29,2107.389892578125,-0.006338515184097658
2015-06-01,2111.72998046875,0.002057343499147661
2015-06-02,2109.60009765625,-0.0010091051653478204
2015-06-03,2114.070068359375,0.0021166294697559994
2015-06-04,2095.840087890625,-0.008660562215101069
2015-06-05,2092.830078125,-0.0014372152327325357
2015-06-08,2079.280029296875,-0.006495560338305542
2015-06-09,2080.14990234375,0.00041826551900276467
2015-06-10,2105.199951171875,0.011970491752514406
2015-06-11,2108.860107421875,0.0017371167565281324
2015-06-12,2094.110107421875,-0.007018874653102703
2015-06-15,2084.429931640625,-0.004633289621771348
